machine_id,timestamp,cpu_util_percent,mem_util_percent,disk_io_percent,net_in,net_out,col_7,col_8
m_2335,,15,83,,,36.1,26.8,3
m_2335,,10,82,,,36.1,26.8,2
m_2335,,12,82,,,36.1,26.8,1
m_2335,,12,83,,,36.1,26.8,1
m_2335,,12,82,,,36.1,26.8,1
m_2335,,15,83,,,36.11,26.81,5
m_2335,,30,84,,,36.11,26.81,2
m_2335,,25,84,,,36.11,26.81,2
m_2335,,14,84,,,36.11,26.81,1
m_2335,,12,83,,,36.11,26.81,1
m_2335,,20,83,,,36.11,26.81,1
m_2335,,22,83,,,36.11,26.81,1
m_2335,,17,83,,,36.11,26.82,1
m_2335,,15,84,,,36.12,26.82,3
m_2335,,16,83,,,36.12,26.82,1
m_2335,,15,84,,,36.12,26.82,1
m_2335,,14,84,,,36.12,26.82,1
m_2335,,15,83,,,36.12,26.82,1
m_2335,,21,84,,,36.13,26.82,1
m_2335,,17,82,,,36.13,26.82,1
m_2335,,19,83,,,36.13,26.83,1
m_2335,,32,86,,,36.13,26.83,1
m_2335,,33,87,,,36.14,26.83,2
m_2335,,23,88,,,36.14,26.83,2
m_2335,,14,87,,,36.15,26.83,1
m_2335,,13,87,,,36.15,26.83,1
m_2335,,11,86,,,36.15,26.83,2
m_2335,,18,87,,,36.15,26.83,1
m_2335,,33,89,,,36.16,26.84,3
m_2335,,44,91,,,36.16,26.84,3
m_2335,,22,83,,,36.16,26.84,1
m_2335,,21,83,,,36.16,26.84,1
m_2335,,26,85,,,36.16,26.84,2
m_2335,,26,86,,,36.16,26.84,2
m_2335,,53,89,,,36.17,26.84,1
m_2335,,24,89,,,36.17,26.84,1
m_2335,,31,90,,,36.17,26.84,1
m_2335,,25,86,,,36.17,26.84,1
m_2335,,22,86,,,36.17,26.84,1
m_2335,,20,85,,,36.17,26.84,4
m_2335,,20,85,,,36.17,26.84,4
m_2335,,29,87,,,36.2,26.86,1
m_2335,,16,85,,,36.2,26.86,2
m_2335,,24,85,,,36.2,26.86,8
m_2335,,28,85,,,36.21,26.86,5
m_2335,,21,85,,,36.21,26.86,5
m_2335,,22,86,,,36.21,26.86,1
m_2335,,27,86,,,36.21,26.86,5
m_2335,,23,85,,,36.21,26.86,5
m_2335,,27,85,,,36.22,26.86,6
m_2335,,30,86,,,36.22,26.86,2
m_2335,,31,86,,,36.22,26.86,2
m_2335,,29,86,,,36.22,26.87,2
m_2335,,25,85,,,36.22,26.87,2
m_2335,,23,84,,,36.22,26.87,4
m_2335,,22,85,,,36.22,26.87,4
m_2335,,21,85,,,36.22,26.87,8
m_2335,,23,85,,,36.22,26.87,2
m_2335,,22,84,,,36.22,26.87,4
m_2335,,19,84,,,36.22,26.87,4
m_2335,,19,86,,,36.23,26.87,3
m_2335,,24,87,,,36.23,26.87,2
m_2335,,26,84,,,36.23,26.87,2
m_2335,,20,86,,,36.23,26.87,1
m_2335,,20,85,,,36.23,26.87,1
m_2335,,20,84,,,36.23,26.87,1
m_2335,,19,83,,,36.23,26.88,1
m_2335,,20,86,,,36.23,26.88,3
m_2335,,18,85,,,36.23,26.88,1
m_2335,,16,84,,,36.24,26.88,1
m_2335,,17,83,,,36.24,26.88,1
m_2335,,14,83,,,36.24,26.88,1
m_2335,,18,84,,,36.24,26.88,1
m_2335,,20,85,,,36.24,26.88,2
m_2335,,16,85,,,36.24,26.88,2
m_2335,,20,85,,,36.24,26.88,1
m_2335,,32,86,,,36.24,26.88,4
m_2335,,30,86,,,36.24,26.88,4
m_2335,,62,90,,,36.25,26.88,4
m_2335,,19,86,,,36.25,26.88,11
m_2335,,21,87,,,36.25,26.88,11
m_2335,,24,88,,,36.25,26.88,9
m_2335,,25,88,,,36.25,26.88,9
m_2335,,24,86,,,36.25,26.89,5
m_2335,,20,85,,,36.25,26.89,2
m_2335,,32,87,,,36.25,26.89,3
m_2335,,17,85,,,36.25,26.89,1
m_2335,,22,86,,,36.25,26.89,2
m_2335,,16,85,,,36.25,26.89,1
m_2335,,22,87,,,36.26,26.89,1
m_2335,,22,88,,,36.26,26.89,2
m_2335,,21,87,,,36.26,26.89,2
m_2335,,19,86,,,36.26,26.89,1
m_2335,,67,92,,,36.26,26.89,1
m_2335,,44,89,,,36.27,26.89,8
m_2335,,16,84,,,36.27,26.9,6
m_2335,,15,85,,,36.27,26.9,6
m_2335,,18,84,,,36.27,26.9,58
m_2335,,49,85,,,36.3,26.91,22
m_2335,,41,81,,,36.31,26.91,7
m_2335,,46,81,,,36.31,26.92,24
m_2335,,45,83,,,36.31,26.92,24
m_2335,,47,87,,,36.31,26.92,11
m_2335,,50,85,,,36.32,26.92,11
m_2335,,35,83,,,36.32,26.92,11
m_2335,,28,79,,,36.32,26.92,8
m_2335,,30,79,,,36.32,26.92,8
m_2335,,27,79,,,36.32,26.92,8
m_2335,,64,86,,,36.32,26.92,13
m_2335,,38,80,,,36.32,26.92,19
m_2335,,57,83,,,36.33,26.93,6
m_2335,,57,84,,,36.33,26.93,6
m_2335,,48,85,,,36.34,26.93,7
m_2335,,60,86,,,36.35,26.94,6
m_2335,,61,86,,,36.35,26.94,6
m_2335,,62,85,,,36.35,26.94,6
m_2335,,61,85,,,36.35,26.94,5
m_2335,,65,87,,,36.36,26.94,7
m_2335,,68,87,,,36.36,26.94,7
m_2335,,67,87,,,36.36,26.94,7
m_2335,,74,87,,,36.36,26.94,9
m_2335,,77,87,,,36.37,26.94,10
m_2335,,78,89,,,36.38,26.95,7
m_2335,,75,88,,,36.38,26.95,7
m_2335,,55,85,,,36.39,26.95,8
m_2335,,66,88,,,36.39,26.95,3
m_2335,,65,88,,,36.39,26.95,3
m_2335,,47,85,,,36.39,26.96,4
m_2335,,51,85,,,36.39,26.96,4
m_2335,,48,87,,,36.4,26.96,7
m_2335,,46,87,,,36.4,26.96,4
m_2335,,55,88,,,36.4,26.96,6
m_2335,,51,89,,,36.4,26.96,2
m_2335,,55,88,,,36.41,26.97,10
m_2335,,50,87,,,36.41,26.97,10
m_2335,,50,89,,,36.42,26.97,4
m_2335,,56,89,,,36.43,26.98,6
m_2335,,43,79,,,36.43,26.99,11
m_2335,,46,79,,,36.43,26.99,11
m_2335,,33,79,,,36.44,26.99,6
m_2335,,41,81,,,36.44,26.99,17
m_2335,,39,81,,,36.45,26.99,6
m_2335,,35,80,,,36.45,27.0,5
m_2335,,50,81,,,36.45,27.0,12
m_2335,,50,81,,,36.45,27.0,10
m_2335,,48,81,,,36.45,27.0,10
m_2335,,46,79,,,36.45,27.0,10
m_2335,,42,84,,,36.46,27.0,3
m_2335,,39,82,,,36.46,27.0,3
m_2335,,26,84,,,36.48,27.02,4
m_2335,,34,84,,,36.48,27.02,2
m_2335,,51,86,,,36.48,27.02,2
m_2335,,36,88,,,36.48,27.02,3
m_2335,,37,86,,,36.48,27.02,2
m_2335,,31,87,,,36.48,27.02,4
